,Date,Event_ID,Duration,Volume,WaterClassify,EventFlowRate,meterNumber,gw,CustomerId,Month,BuildingType,SquareFootage,YearConstructed,ClimateRegion,NumberOfWorkers,Leak
0,6/1/23 0:08,0,0,0.265625,LowCon,0,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,No
1,6/1/23 3:24,1,0,1.8515625,LowCon,0,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,No
2,6/1/23 8:04,2,0,0.265625,LowCon,0,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,No
3,6/1/23 8:10,3,0,0,LowCon,0,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,No
4,6/1/23 8:23,4,0,0,LowCon,0,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,No
5,6/1/23 8:29,5,0,0,LowCon,0,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,No
6,6/1/23 8:56,6,0,0,LowCon,0,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,No
7,6/1/23 9:09,7,0,0,LowCon,0,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,No
8,6/1/23 9:34,8,0,0,LowCon,0,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,No
9,6/1/23 9:41,9,0,0.265625,LowCon,0,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,No
10,6/1/23 10:00,10,5.36,0.143322,LowCon,0.026739179,19240566,b827eb5e5926,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,Yes
11,6/1/23 10:32,11,3.36,0.143322,LowCon,0.042655357,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,Yes
12,6/1/23 11:59,12,10.36,0.043322,LowCon,0.00418166,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,Yes
13,6/1/23 12:15,13,15.66,0.143322,LowCon,0.009152107,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,Yes
14,6/1/23 12:46,14,5.24,0.143322,LowCon,0.027351527,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,Yes
15,6/1/23 12:51,15,8.06,0.143322,LowCon,0.017781886,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,Yes
16,6/1/23 14:48,16,14.06,0.143322,LowCon,0.010193599,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,Yes
17,6/1/23 15:56,17,0,0,LowCon,0,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,No
18,6/1/23 16:02,18,0,0.2578125,LowCon,0,19240566,b827eb5e5925,10849,['2023-06'],Office,"250,000",2006,Very cold/Cold,256,No
